age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
34,Private,Some-college,10,Divorced,Exec-managerial,Own-child,White,Male,0,0,44,United-States,<=50K
58,Government,10th,6,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,40,United-States,<=50K
25,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,42,United-States,<=50K
24,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
57,Self-employed,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,5178,0,60,Europe,>50K
57,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,Female,0,0,38,United-States,<=50K
21,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,35,United-States,<=50K
25,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
53,Private,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
30,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
34,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,50,United-States,<=50K
42,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Spouse,White,Male,0,0,40,United-States,<=50K
24,Government,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
29,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,44,United-States,<=50K
40,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Spouse,White,Female,0,0,30,United-States,>50K
24,Government,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,50,United-States,<=50K
39,Private,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,4650,0,40,United-States,<=50K
29,Private,HS-grad,9,Married-AF-spouse,Transport-moving,Spouse,White,Male,0,0,80,United-States,<=50K
45,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,45,United-States,<=50K
22,Private,Assoc-acdm,12,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,20,Latin America,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Other-service,Spouse,White,Male,0,0,40,United-States,<=50K
19,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
45,Private,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,1980,40,United-States,<=50K
26,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,0,0,80,United-States,>50K
25,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
