,Id,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
0,16280,34,Private,204991,Some-college,10,Divorced,Exec-managerial,Own-child,White,Male,0,0,44,United-States,<=50K
1,16281,58,Government,310085,10th,6,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,40,United-States,<=50K
2,16282,25,Private,146117,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,42,United-States,<=50K
3,16283,24,Private,138938,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
4,16284,57,Self-employed,258883,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,5178,0,60,Europe,>50K
5,16285,57,Private,163047,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,Female,0,0,38,United-States,<=50K
6,16286,21,Private,197050,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,35,United-States,<=50K
7,16287,25,Private,288519,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
8,16288,53,Private,260106,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
9,16289,30,Private,213722,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
10,16290,34,Private,170772,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,50,United-States,<=50K
11,16291,42,Private,213214,Assoc-acdm,12,Married-civ-spouse,Sales,Spouse,White,Male,0,0,40,United-States,<=50K
12,16292,24,Government,215797,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
13,16293,29,Private,340534,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,44,United-States,<=50K
14,16294,40,Private,178983,HS-grad,9,Married-civ-spouse,Adm-clerical,Spouse,White,Female,0,0,30,United-States,>50K
15,16295,24,Government,103277,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,50,United-States,<=50K
16,16296,39,Private,101146,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,4650,0,40,United-States,<=50K
17,16297,29,Private,95423,HS-grad,9,Married-AF-spouse,Transport-moving,Spouse,White,Male,0,0,80,United-States,<=50K
18,16298,45,Private,44489,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,45,United-States,<=50K
19,16299,22,Private,230704,Assoc-acdm,12,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,20,Latin America,<=50K
20,16300,31,Private,241885,HS-grad,9,Married-civ-spouse,Other-service,Spouse,White,Male,0,0,40,United-States,<=50K
21,16301,19,Private,445728,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
22,16302,45,Private,100651,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,1980,40,United-States,<=50K
23,16303,26,Private,153078,HS-grad,9,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,0,0,80,United-States,>50K
24,16304,25,Private,255849,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
25,16305,55,Private,51008,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
26,16306,35,Private,142874,Assoc-acdm,12,Married-spouse-absent,Sales,Own-child,Black,Female,0,0,36,United-States,<=50K
27,16307,42,Private,154374,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,50,United-States,>50K
28,16308,31,Private,100252,Bachelors,13,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Male,99999,0,70,United-States,>50K
29,16309,48,Private,248059,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,5013,0,45,United-States,<=50K
30,16310,71,Private,200418,5th-6th,3,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,40,United-States,<=50K
31,16311,50,Private,195690,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Spouse,White,Male,0,0,45,United-States,<=50K
32,16312,43,Private,282069,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,42,United-States,<=50K
33,16313,48,Private,185291,Bachelors,13,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,6,United-States,<=50K
34,16314,31,Government,168906,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Spouse,White,Female,0,0,35,United-States,<=50K
35,16315,30,Private,138744,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
36,16316,58,Government,194068,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,1977,50,United-States,>50K
37,16317,34,Private,340458,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
38,16318,61,Private,122246,12th,8,Married-civ-spouse,Other-service,Spouse,White,Female,0,0,40,United-States,<=50K
39,16319,25,Private,267044,Some-college,10,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,20,United-States,<=50K
40,16320,67,Private,228200,HS-grad,9,Married-civ-spouse,Priv-house-serv,Spouse,Black,Female,0,0,20,United-States,<=50K
41,16321,60,Private,123218,Some-college,10,Married-civ-spouse,Other-service,Spouse,White,Male,0,0,40,United-States,<=50K
42,16322,42,Self-employed,119207,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,48,United-States,<=50K
43,16323,50,Private,55527,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,<=50K
44,16324,51,Self-employed,32372,12th,8,Married-civ-spouse,Other-service,Spouse,White,Male,0,0,99,United-States,<=50K
45,16325,25,Private,395512,12th,8,Married-civ-spouse,Machine-op-inspct,Other-relative,Other,Male,0,0,40,Latin America,<=50K
46,16326,23,Government,248344,Some-college,10,Never-married,Other-service,Not-in-family,Black,Male,0,0,30,United-States,<=50K
47,16327,37,Self-employed,58343,HS-grad,9,Divorced,Farming-fishing,Unmarried,White,Male,0,0,56,United-States,<=50K
48,16328,28,Private,297742,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
49,16329,42,Self-employed,199143,Prof-school,15,Divorced,Prof-specialty,Unmarried,White,Female,7430,0,44,United-States,>50K
50,16330,45,Private,319637,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
51,16331,35,Private,107125,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,16,United-States,>50K
52,16332,70,Private,54849,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,20,United-States,>50K
53,16333,42,Self-employed,277256,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,1977,60,United-States,>50K
54,16334,31,Private,138416,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Spouse,White,Male,0,0,56,Latin America,<=50K
55,16335,43,Self-employed,304906,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,Male,0,0,45,United-States,>50K
56,16336,54,Self-employed,230951,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,>50K
57,16337,49,Self-employed,163352,Prof-school,15,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,85,United-States,>50K
58,16338,26,Private,58098,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,1974,40,United-States,<=50K
59,16339,26,Private,223464,Some-college,10,Married-civ-spouse,Adm-clerical,Spouse,White,Male,0,0,40,United-States,<=50K
60,16340,58,Private,178660,12th,8,Married-civ-spouse,Adm-clerical,Spouse,White,Male,0,0,40,United-States,<=50K
61,16341,34,Private,329993,Some-college,10,Married-civ-spouse,Adm-clerical,Spouse,White,Male,0,0,40,United-States,<=50K
62,16342,19,Self-employed,30800,10th,6,Married-spouse-absent,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
63,16343,35,Private,36214,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,4386,0,47,United-States,>50K
64,16344,27,Private,210313,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,28,Latin America,<=50K
65,16345,41,Self-employed,397280,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,72,United-States,<=50K
66,16346,34,Self-employed,190290,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,40,United-States,>50K
67,16347,31,Private,288566,Bachelors,13,Married-civ-spouse,Tech-support,Spouse,White,Male,0,0,43,United-States,>50K
68,16348,44,Private,213416,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Spouse,White,Male,0,0,40,Latin America,<=50K
69,16349,30,Private,488720,9th,5,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,40,Latin America,<=50K
70,16350,67,Private,81761,Masters,14,Married-civ-spouse,Handlers-cleaners,Spouse,White,Male,0,0,2,United-States,<=50K
71,16351,66,Private,213149,Some-college,10,Married-civ-spouse,Handlers-cleaners,Spouse,White,Male,0,1825,40,United-States,>50K
72,16352,35,Private,287658,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Male,0,0,40,United-States,<=50K
73,16353,33,Private,183845,HS-grad,9,Married-civ-spouse,Other-service,Spouse,White,Female,0,0,38,Latin America,<=50K
74,16354,28,Private,125527,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
75,16355,26,Private,104834,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1669,40,United-States,<=50K
76,16356,45,Government,311080,Some-college,10,Married-civ-spouse,Adm-clerical,Spouse,White,Male,0,0,40,United-States,>50K
77,16357,41,Private,105616,Some-college,10,Widowed,Adm-clerical,Unmarried,Black,Female,0,0,48,United-States,<=50K
78,16358,27,Private,176683,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,48,United-States,<=50K
79,16359,69,Government,203072,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,50,United-States,>50K
80,16360,19,Private,187570,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,20,United-States,<=50K
81,16361,43,Private,405374,Some-college,10,Separated,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
82,16362,54,Private,144586,Some-college,10,Married-civ-spouse,Sales,Spouse,White,Female,0,0,40,United-States,>50K
83,16363,35,Private,222989,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,30,United-States,<=50K
84,16364,54,Government,286342,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,32,United-States,>50K
85,16365,24,Private,174461,Assoc-acdm,12,Divorced,Other-service,Not-in-family,White,Female,0,0,22,United-States,<=50K
86,16366,18,Private,135924,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States,<=50K
87,16367,31,Private,251659,Some-college,10,Married-civ-spouse,Other-service,Spouse,Asian-Pac-Islander,Male,0,1485,55,United-States,>50K
88,16368,77,Private,117898,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,50,United-States,>50K
89,16369,50,Government,254148,Some-college,10,Married-civ-spouse,Farming-fishing,Spouse,White,Male,0,0,40,Latin America,<=50K
90,16370,17,Private,100828,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States,<=50K
91,16371,31,Private,87054,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,50,United-States,<=50K
92,16372,47,Private,114459,HS-grad,9,Married-civ-spouse,Sales,Spouse,White,Male,0,0,40,United-States,>50K
93,16373,34,Private,340458,12th,8,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
94,16374,39,Private,290321,10th,6,Married-civ-spouse,Machine-op-inspct,Spouse,White,Male,0,0,40,United-States,<=50K
95,16375,20,Private,47541,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,<=50K
96,16376,31,Private,339482,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Spouse,White,Male,0,0,40,Latin America,<=50K
97,16377,32,Self-employed,62272,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
98,16378,33,Private,163110,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Spouse,White,Male,3781,0,40,United-States,<=50K
99,16379,47,Private,197702,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,40,United-States,<=50K
100,16380,59,Government,117299,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,1887,40,United-States,>50K
101,16381,24,Private,194604,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,<=50K
102,16382,30,Private,272669,Some-college,10,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
103,16383,28,Private,198197,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,>50K
104,16384,32,Private,167990,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,Europe,<=50K
105,16385,31,Private,201122,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,>50K
106,16386,20,Private,170091,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,United-States,<=50K
107,16387,31,Government,158092,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,United-States,<=50K
